지역,공동주택명,주소,행정동,세대수,층수,동수,준공연도,관리실번호,위도(lat),경도(lon),정제된주소
천안시,아우내아파트,천안시 동남구 아우내장터1길 7(병천면),병천면,72.0,6.0,1.0,1996-04-19,041-552-9738,36.7606637170975,127.295114819519,천안시 동남구 아우내장터1길 7
천안시,병천중앙아파트,천안시 동남구 충절로 1890(병천면),병천면,177.0,14.0,1.0,1996-07-20,041-561-2416,36.764350106639,127.314966215566,천안시 동남구 충절로 1890
천안시,천안병천신한아파트,천안시 동남구 충절로 1638(병천면),,474.0,6.0,6.0,1997-02-25,041-554-0038,36.7639976783073,127.288011387914,천안시 동남구 충절로 1638
천안시,모드니에아파트,천안시 동남구 아우내장터1길 10(병천면),병천면,148.0,13.0,2.0,2005-08-30,041-569-0090,36.7591283157576,127.296271415502,천안시 동남구 아우내장터1길 10
천안시,레이크팰리스아파트,천안시 동남구 충절로 1896(병천면),,346.0,12.0,3.0,2010-05-07,041-523-8847,36.7638626436827,127.31685174026,천안시 동남구 충절로 1896
천안시,부경파크빌아파트(1차),천안시 동남구 5산단로 419(병천면),,282.0,4.0,17.0,2016-04-11,041-553-5225,36.7637769121148,127.264974958738,천안시 동남구 5산단로 419
천안시,부경타운하우스2단지,천안시 동남구 5산단로 420(병천면),병천면,496.0,4.0,13.0,2018-07-25,041-523-3306,36.7625219657391,127.266048501897,천안시 동남구 5산단로 420
천안시,마인하임,천안시 동남구 병천면 충절로 1609(병천면),병천면,83.0,6.0,4.0,2022-11-30,,36.7670806484021,127.284910782343,천안시 동남구 병천면 충절로 1609
천안시,공작아파트,충청남도 천안시 동남구 양지14길 19-5,봉명동,65.0,5.0,2.0,1985-12-18,041-574-8886,36.810292653391,127.138742966611,충청남도 천안시 동남구 양지14길 19-5
천안시,우영아파트,천안시 동남구 우영1길 10(봉명동),봉명동,278.0,5.0,8.0,1988-08-24,041-574-5232,36.805213750612,127.140789087028,천안시 동남구 우영1길 10
천안시,성지아파트,천안시 동남구 봉명1길 60(봉명동),봉명동,105.0,5.0,4.0,1989-10-28,041-573-1448,36.8059046790261,127.134281427905,천안시 동남구 봉명1길 60
천안시,대우목화아파트(5차),천안시 동남구 쌍용대로 150(봉명동),,88.0,5.0,2.0,1990-07-28,041-574-2803,36.8108051863745,127.134444190906,천안시 동남구 쌍용대로 150
천안시,대우목화아파트(6차),천안시 동남구 봉명1길 55(봉명동),,96.0,6.0,2.0,1990-07-28,041-572-2845,36.8056094959242,127.133381966299,천안시 동남구 봉명1길 55
천안시,대우목화아파트(4차),천안시 동남구 봉명1길 18(쌍용동),,248.0,15.0,3.0,1990-12-05,041-574-0454,36.802524417545,127.133411465251,천안시 동남구 봉명1길 18
천안시,근로자복지(대우장미),천안시 동남구 봉명1길 1(쌍용동),봉명동,48.0,6.0,1.0,1991-04-06,,36.8005985624921,127.133410365905,천안시 동남구 봉명1길 1
천안시,봉명선경아파트,천안시 동남구 양지4길 25(봉명동),봉명동,285.0,16.0,4.0,1991-11-30,041-572-9010,36.8092107668726,127.137044569208,천안시 동남구 양지4길 25
천안시,신성2차은하수아파트,천안시 동남구 순천향1길 16(쌍용동),,292.0,18.0,4.0,1995-04-29,041-571-2740,36.8012497706524,127.133030848799,천안시 동남구 순천향1길 16
천안시,임광아파트,천안시 동남구 순천향1길 25(쌍용동),봉명동,108.0,18.0,1.0,1996-05-29,041-572-2281,36.8026720264532,127.132518748389,천안시 동남구 순천향1길 25
천안시,봉명청솔아파트(3차),천안시 동남구 봉서8길 13(봉명동),봉명동,1380.0,15.0,9.0,2001-10-19,041-578-7300,36.811348418518,127.133365809332,천안시 동남구 봉서8길 13
천안시,봉서산아이파크아파트,천안시 동남구 봉명4길 29(봉명동),,665.0,24.0,9.0,2018-10-04,041-579-8831,36.8065883437785,127.137443877493,천안시 동남구 봉명4길 29
천안시,봉명역센트럴시티아파트,천안시 동남구 봉명4길 15,봉명동,816.0,25.0,9.0,2025-01-23,041-578-5601,36.8053705924728,127.136260255089,천안시 동남구 봉명4길 15
천안시,봉명e편한세상아너리움아파트,천안시 동남구 쌍용대로 160(봉명동),,459.0,26.0,8.0,2020-06-02,041-575-9992,36.8124230833361,127.134644711525,천안시 동남구 쌍용대로 160
천안시,북면금오아파트,천안시 동남구 복구정3길 6-5(북면),,238.0,5.0,8.0,1990-10-30,041-555-2534,36.7698353832382,127.249597197813,천안시 동남구 복구정3길 6-5
천안시,북면중앙아파트,천안시 동남구 충절로 1456(북면),,924.0,14.0,5.0,1998-02-28,041-555-2690,36.7702215181643,127.269065164038,천안시 동남구 충절로 1456
천안시,성남태영아파트,천안시 동남구 석곡3길 9-20(성남면),,200.0,12.0,2.0,1993-12-15,041-554-2067,36.7393383319338,127.224009479337,천안시 동남구 석곡3길 9-20
천안시,현대아파트(2차),천안시 동남구 새말4길 12(신방동),신방동,153.0,15.0,1.0,1992-11-02,041-573-5665,36.7947967432678,127.133175095229,천안시 동남구 새말4길 12
천안시,신방현대아파트,천안시 동남구 풍세로 705(신방동),,218.0,10.0,2.0,1993-09-16,041-576-5159,36.7737571502427,127.137930305414,천안시 동남구 풍세로 705
천안시,신동아목련아파트,천안시 동남구 새말4길 5(신방동),신방동,498.0,18.0,4.0,1996-04-19,041-572-3840,36.7936992870927,127.131791372198,천안시 동남구 새말4길 5
천안시,성지새말1단지아파트,천안시 동남구 일봉로 17(신방동),,612.0,24.0,6.0,1997-03-31,041-573-6147,36.7944645446972,127.130536223059,천안시 동남구 일봉로 17
천안시,성지새말2단지아파트,천안시 동남구 일봉로 20(신방동),,840.0,24.0,8.0,1997-03-31,041-573-6297,36.7919010832235,127.131005019428,천안시 동남구 일봉로 20
천안시,두레현대1단지아파트,천안시 동남구 일봉로 34(신방동),,676.0,24.0,7.0,1997-06-07,041-572-1612,36.7918921187346,127.131859870354,천안시 동남구 일봉로 34
천안시,두레현대2단지아파트,천안시 동남구 서부대로 252(신방동),,740.0,22.0,6.0,1997-06-14,041-575-2721,36.7915156728683,127.130352628969,천안시 동남구 서부대로 252
천안시,신방삼일원앙아파트,천안시 동남구 신촌로 5(신방동),,401.0,15.0,2.0,1997-08-30,041-574-7029,36.7896826529797,127.11987664852,천안시 동남구 신촌로 5
천안시,향촌현대아파트,천안시 동남구 서부대로 226-11(신방동),신방동,998.0,20.0,8.0,1998-06-20,041-571-6988,36.7885463947633,127.13012263218,천안시 동남구 서부대로 226-11
천안시,한라동백아파트(2차),천안시 동남구 서부대로 226-12(신방동),,1139.0,24.0,8.0,1998-09-19, 041-576-9911,36.7874627117889,127.130043272454,천안시 동남구 서부대로 226-12
천안시,초원그린타운,천안시 동남구 신방동 신촌4로 16(신방동),신방동,4168.0,15.0,16.0,1998-12-21,041-574-4811,36.7877722195836,127.126726688818,천안시 동남구 신방동 신촌4로 16
천안시,용곡세광엔리치타워아파트(1차),천안시 동남구 풍세로 801-23(용곡동),,575.0,15.0,11.0,2005-08-22,041-579-7100,36.7800848581284,127.140332212358,천안시 동남구 풍세로 801-23
천안시,대주피오레아파트,천안시 동남구 서부대로 257-8(신방동),,297.0,15.0,4.0,2006-03-29,041-573-9544,36.7917981655237,127.127279850457,천안시 동남구 서부대로 257-8
천안시,용곡2차세광엔리치타워아파트,천안시 동남구 풍세로 769-28(용곡동),,897.0,15.0,15.0,2007-10-16,041-571-6577,36.7797034124992,127.138721867446,천안시 동남구 풍세로 769-28
천안시,신방푸르지오아파트,천안시 동남구 신방동 통정9로 51(신방동),,417.0,15.0,6.0,2009-01-09,041-592-1108,36.7718815539351,127.131169209793,천안시 동남구 신방동 통정9로 51
천안시,신방한라비발디아파트,천안시 동남구 통정9로 75(신방동),,764.0,20.0,13.0,2009-09-22,041-579-3324~5,36.7708312453123,127.132683692902,천안시 동남구 통정9로 75
천안시,신방한성필하우스,천안시 동남구 통정3로 68(신방동),신방동,1049.0,19.0,18.0,2010-06-08,041-572-7747,36.7768561662136,127.133597391259,천안시 동남구 통정3로 68
천안시,보광그랑베르,천안시 동남구 신촌1길 16(신방동),신방동,141.0,11.0,1.0,2012-08-22,041-576-3090,36.7877526964761,127.119469310898,천안시 동남구 신촌1길 16
천안시,하나리움아인스파크,천안시 동남구 통정3로 77(신방동),,305.0,20.0,4.0,2016-04-20,041-579-7730,36.7780195988697,127.131165889248,천안시 동남구 통정3로 77
천안시,천안신방LH1단지,천안시 동남구 통정11로 80(신방동),신방동,450.0,15.0,4.0,2018-10-25,041-592-6677,36.7719099845066,127.13459769229,천안시 동남구 통정11로 80
천안시,삼부르네상스,천안시 동남구 풍세로 687-22,,830.0,25.0,10.0,2023-05-30,041-574-3854,,,천안시 동남구 풍세로 687-22
천안시,라움시티,천안시 동남구 신촌1길 22(신방동),신방동,55.0,9.0,1.0,2023-12-29,,36.7873755687594,127.119480713014,천안시 동남구 신촌1길 22
천안시,동남로얄아파트,천안시 동남구 신원3길 33(신부동),신안동,185.0,5.0,4.0,1985-09-25,041-552-9703,36.8150138439811,127.164011461975,천안시 동남구 신원3길 33
천안시,새한아파트,천안시 동남구 신원2길 88-1(신부동) 402호,신안동,25.0,5.0,1.0,1989-06-14,,36.81954094222,127.160832994989,천안시 동남구 신원2길 88-1 402호
천안시,신부극동아파트,천안시 동남구 신원3길 34(신부동),신안동,104.0,13.0,2.0,1990-07-28,041-568-3722,36.8146722767959,127.164762296643,천안시 동남구 신원3길 34
천안시,동아태조아파트,천안시 동남구 터미널9길 13(신부동),신안동,800.0,15.0,9.0,1995-10-30,041-554-4882,36.8241932478672,127.155294864317,천안시 동남구 터미널9길 13
천안시,대림한내아파트,천안시 동남구 터미널9길 31(신부동),신안동,556.0,15.0,7.0,1995-10-30,041-552-5576,36.8241650303101,127.156541664507,천안시 동남구 터미널9길 31
천안시,대림한들아파트,천안시 동남구 터미널9길 59(신부동),신안동,599.0,15.0,8.0,1995-10-30,041-553-5181,36.8240777079277,127.158179638116,천안시 동남구 터미널9길 59
천안시,대림한숲아파트,천안시 동남구 터미널6길 12(신부동),신안동,451.0,15.0,5.0,1995-10-30,041-553-1692,36.8220922633172,127.160890564938,천안시 동남구 터미널6길 12
천안시,신부우방아파트,천안시 동남구 중앙로 265-36(신부동),,436.0,19.0,7.0,1995-11-24,041-553-6327,36.8231144642779,127.150369100313,천안시 동남구 중앙로 265-36
천안시,안서동보아파트,천안시 동남구 각원사길 59-5(안서동),,615.0,10.0,2.0,1996-05-01,041-562-6700,36.8311878451726,127.177796963363,천안시 동남구 각원사길 59-5
천안시,한화아파트(한화포레나),천안시 동남구 신부15길 7(신부동),신안동,195.0,8.0,1.0,1997-05-31,041-561-5589,36.8202677240425,127.161934034629,천안시 동남구 신부15길 7
천안시,신부경남아너스빌,천안시 동남구 충절로 42(신부동),,619.0,18.0,4.0,2000-03-31,041-555-3880,36.8157062442316,127.158031059585,천안시 동남구 충절로 42
천안시,부경파크빌아파트(2차),천안시 동남구 성불사길 36(안서동),,487.0,15.0,9.0,2004-07-03,041-556-0284,36.828664421243,127.188707027688,천안시 동남구 성불사길 36
천안시,고운여의주아파트,천안시 동남구 안서1길 5-16(안서동),신안동,297.0,15.0,3.0,2004-12-23,041-522-5550,36.8296964953731,127.177808869397,천안시 동남구 안서1길 5-16
천안시,안서e편한세상(1차),천안시 동남구 성불사길 41(안서동),,492.0,15.0,9.0,2005-08-16,041-561-8050,36.8301878802711,127.190260382378,천안시 동남구 성불사길 41
천안시,안서e편한세상(2차),천안시 동남구 성불사길 17(안서동),,76.0,15.0,1.0,2005-09-09,041-564-8060,36.8300782676094,127.186416013138,천안시 동남구 성불사길 17
천안시,청광플러스원아파트,천안시 동남구 중앙로 265-31(신부동),신안동,230.0,15.0,2.0,2006-07-10,041-622-3886,36.8223794627485,127.149843555009,천안시 동남구 중앙로 265-31
천안시,신부우방유쉘1단지,천안시 동남구 중앙로 255-21(신부동),,138.0,15.0,3.0,2007-09-28,041-523-1821,36.8204548732758,127.149987750799,천안시 동남구 중앙로 255-21
천안시,신부우방유쉘2단지,천안시 동남구 중앙로 255-11(신부동),,56.0,15.0,1.0,2007-09-28,041-523-1821,36.8208123508235,127.151474546881,천안시 동남구 중앙로 255-11
천안시,신부우방유쉘3단지,천안시 동남구 중앙로 255-12(신부동),,78.0,14.0,1.0,2007-09-28,041-523-1821,36.8213041605764,127.151698673306,천안시 동남구 중앙로 255-12
천안시,신부휴먼시아아파트,천안시 동남구 천안천8길 45(신부동),,497.0,23.0,6.0,2009-09-15,041-562-4900,36.8219255758871,127.155664530289,천안시 동남구 천안천8길 45
천안시,메가시티1,천안시 동남구 문암2길 14-6(안서동),신안동,199.0,10.0,1.0,2014-01-22,041-564-7604,36.8381151132569,127.177607167224,천안시 동남구 문암2길 14-6
천안시,천안스카이타워,천안시 동남구 먹거리11길 5(신부동),,299.0,21.0,1.0,2014-03-24,041-555-1711,36.8181664995661,127.152894633733,천안시 동남구 먹거리11길 5
천안시,힐스테이트천안신부아파트,천안시 동남구 북일로 70(신부동),,984.0,25.0,12.0,2017-08-29,041-555-7797,36.8270312592615,127.155867333169,천안시 동남구 북일로 70
천안시,신부디이스트아파트,천안시 동남구 신부8길 21(신부동),,2144.0,32.0,20.0,2018-05-30,041-622-6470~1,36.8170432327325,127.161310147332,천안시 동남구 신부8길 21
천안시,안서코아루아파트,천안시 동남구 각원사길 114-7(안서동),,276.0,18.0,4.0,2018-10-22,041-622-6967,36.8296692388882,127.184752201945,천안시 동남구 각원사길 114-7
천안시,리빙골드레지던스,천안시 동남구 문암4길 14(안서동),신안동,299.0,11.0,1.0,2016-07-05,041-568-1370,36.8415989076114,127.178909113898,천안시 동남구 문암4길 14
천안시,전원연립주택(백석대학교 기숙사)믿음동,천안시 동남구 문암3길 12(안서동),,112.0,4.0,1.0,2001-09-28,041-550-0635,36.8381532101257,127.178702881914,천안시 동남구 문암3길 12
천안시,포레나 천안 신부,천안시 동남구 천안대로 888(신부동),,602.0,22.0,6.0,2023-12-26,041-522-7011,36.8260357870541,127.15684071996,천안시 동남구 천안대로 888
천안시,천광빌라,천안시 동남구 신부1길4,신안동,30.0,4.0,2.0,1985-11-18,,36.8140082922882,127.159173060414,천안시 동남구 신부1길4
천안시,안서금호어울림아파트,천안시 동남구 문암1길 68(안서동),,498.0,23.0,5.0,2009-08-12,041-565-9002,36.8405123616813,127.176735666574,천안시 동남구 문암1길 68
천안시,우성아파트,천안시 동남구 원성2길 8(원성동),원성1동,25.0,5.0,1.0,1988-11-08,,36.8079954318882,127.160664281915,천안시 동남구 원성2길 8
천안시,경성그린아파트,천안시 동남구 원성8길 15(원성동),원성1동,40.0,5.0,1.0,1988-12-08,,36.8112058503419,127.163745469737,천안시 동남구 원성8길 15
천안시,한신아파트,천안시 동남구 원성2길 12(원성동),원성1동,30.0,5.0,1.0,1990-01-13,041-552-7862,36.8082084338449,127.160746197375,천안시 동남구 원성2길 12
천안시,초원라이프아파트,천안시 동남구 원성5길 17(원성동),원성1동,83.0,15.0,1.0,1994-05-25,041-553-2327,36.8080072913082,127.162150941916,천안시 동남구 원성5길 17
천안시,학산파크뷰(유량동테라스하우스),천안시 동남구 태조산길 133(유량동),,72.0,5.0,4.0,2019-05-28,041-564-9670,36.8158132982519,127.177208308977,천안시 동남구 태조산길 133
천안시,대진연립,천안시 동남구 원성천2길 38(원성동),원성2동,26.0,2.0,3.0,1979-01-12,,36.8027537418875,127.1554565146,천안시 동남구 원성천2길 38
천안시,원성비둘기아파트,천안시 동남구 원거리7길 30(원성동),원성2동,50.0,5.0,2.0,1986-09-16,041-556-9908,36.7990835026639,127.157110918863,천안시 동남구 원거리7길 30
천안시,평화아파트,천안시 동남구 원거리7길 14(원성동),원성2동,39.0,5.0,1.0,1989-10-07,041-552-6991,36.7990819227398,127.155225888956,천안시 동남구 원거리7길 14
천안시,우성VIP,천안시 동남구 충무로 455-3(원성동),원성2동,40.0,10.0,1.0,1989-12-13,,36.7987837997008,127.15545980829,천안시 동남구 충무로 455-3
천안시,원성극동아파트,천안시 동남구 충절로 190(원성동),,341.0,20.0,2.0,1995-10-30,041-551-8882,36.8022114298185,127.158681037281,천안시 동남구 충절로 190
천안시,메가시티2,천안시 동남구 고재1길 6(원성동),원성2동,120.0,11.0,1.0,2016-04-20,041-622-8502,36.7989658524461,127.160125282357,천안시 동남구 고재1길 6
천안시,e편한세상천안역,천안시 동남구 원성천1길 99,원성동,1579.0,35.0,15.0,2023-04-26,041-566-5421,36.8048776781632,127.15599409662,천안시 동남구 원성천1길 99
천안시,우정인재개발원 직원아파트(기숙사),천안시 동남구 양지말1길 11-14,,90.0,5.0,4.0,1999-05-03,,36.8139652331737,127.18856256767,천안시 동남구 양지말1길 11-14
천안시,공무원연립주택,천안시 동남구 다가말2길 33(다가동),일봉동,42.0,3.0,2.0,1983-12-26,,36.7981863356917,127.135517751188,천안시 동남구 다가말2길 33
천안시,국민아파트,천안시 동남구 천안천공원2길 6(다가동),일봉동,60.0,5.0,2.0,1985-12-28,041-552-3733,36.7968027676597,127.148715602373,천안시 동남구 천안천공원2길 6
천안시,삼오아파트,천안시 동남구 천안천공원5길 51(다가동),일봉동,40.0,5.0,1.0,1986-06-12,,36.7959126662136,127.148413038292,천안시 동남구 천안천공원5길 51
천안시,신성1차아파트,천안시 동남구 다가말2길 34-5(다가동),일봉동,364.0,14.0,4.0,1990-12-20,041-574-4423,36.7977744431507,127.136065055715,천안시 동남구 다가말2길 34-5
천안시,활림3차크로바아파트,천안시 동남구 다가12길 6(다가동),일봉동,163.0,14.0,1.0,1995-12-20,041-572-5136,36.8004248025167,127.140399902606,천안시 동남구 다가12길 6
천안시,다가한성아파트,천안시 동남구 차돌로 128(다가동),,99.0,10.0,1.0,2000-07-31,,36.803089760264,127.144455046784,천안시 동남구 차돌로 128
천안시,아트빌아파트,천안시 동남구 풍세로 965(다가동),일봉동,239.0,15.0,1.0,2004-01-14,041-568-4636,36.7942794794926,127.150714288068,천안시 동남구 풍세로 965
천안시,용곡동일하이빌아파트1단지,천안시 동남구 일봉로 71(용곡동),,826.0,15.0,11.0,2005-12-09,041-578-7355,36.7924630184567,127.13606104017,천안시 동남구 일봉로 71
천안시,용곡동일하이빌아파트2단지,천안시 동남구 일봉로 72(용곡동),,120.0,15.0,4.0,2005-12-09,041-578-7355,36.7919372671392,127.135703262447,천안시 동남구 일봉로 72
천안시,다가한화꿈에그린아파트,천안시 동남구 다가말2길 54(다가동),,245.0,15.0,5.0,2006-02-28,041-575-2022,36.7978458774078,127.137885526764,천안시 동남구 다가말2길 54
천안시,웰스빌아파트,천안시 동남구 천안천공원2길 28(다가동),일봉동,221.0,15.0,2.0,2006-07-31,041-522-0742,36.7949712721754,127.14913480619,천안시 동남구 천안천공원2길 28
천안시,용곡마을현대아이파크,천안시 동남구 용곡4길 20(용곡동),,403.0,15.0,7.0,2006-09-29,041-575-2229,36.7943577640406,127.145005478884,천안시 동남구 용곡4길 20
천안시,다가서해그랑블아파트,천안시 동남구 천안천공원3길 5-31(다가동),,286.0,15.0,4.0,2008-07-31,041-592-2887,36.8031657386708,127.145330575119,천안시 동남구 천안천공원3길 5-31
천안시,용곡더쉴아파트,천안시 동남구 새말1길 47(용곡동),일봉동,230.0,14.0,3.0,2009-06-24,041-576-8811,36.7889893434985,127.13187618291,천안시 동남구 새말1길 47
천안시,용곡우림필유아파트,천안시 동남구 용곡5길 37-6(용곡동),,499.0,18.0,8.0,2009-10-07,041-578-4560,36.7938136074351,127.139713898968,천안시 동남구 용곡5길 37-6
천안시,용곡한라비발디아파트,천안시 동남구 용곡2길 43-11(용곡동),,1163.0,25.0,20.0,2010-06-24,041-592-8497,36.7874161905832,127.135553230895,천안시 동남구 용곡2길 43-11
천안시,용곡삼성쉐르빌아파트,천안시 동남구 일봉로 110(용곡동),,295.0,18.0,4.0,2010-08-12,041-572-2338,36.7879326689718,127.13669072923,천안시 동남구 일봉로 110
천안시,용곡동일하이빌하이씨티3단지,천안시 동남구 일봉로 88(용곡동),일봉동,213.0,19.0,4.0,2015-08-26,041-576-0973,36.7898920046223,127.136495455708,천안시 동남구 일봉로 88
천안시,용곡동일하이빌하이시티4단지,천안시 동남구 용곡5길 34(용곡동),일봉동,379.0,20.0,6.0,2015-08-26,041-576-0974,36.7892155085034,127.138547991745,천안시 동남구 용곡5길 34
천안시,일봉산해피트리아파트,천안시 동남구 다가말2길 70(다가동),일봉동,546.0,20.0,6.0,2017-12-29,041-579-3800,36.7974843361653,127.139213434999,천안시 동남구 다가말2길 70
천안시,천안극동스타클래스더퍼스트,천안시 동남구 풍세로 933,일봉동,1225.0,29.0,10.0,2024-09-27,041-622-9953,36.7911603654387,127.148349980604,천안시 동남구 풍세로 933
천안시,금성아파트,천안시 동남구 천안천공원5길 14(영성동),중앙동,168.0,8.0,1.0,1991-08-03,041-553-5937,36.7973163709116,127.151807103298,천안시 동남구 천안천공원5길 14
천안시,영성펜타폴리스25아파트,천안시 동남구 대흥로 90(영성동),,170.0,20.0,1.0,2017-11-24,041-622-6253,36.7994162440835,127.152291498219,천안시 동남구 대흥로 90
천안시,퍼스티안(1차),천안시 동남구 대흥로 140(사직동),,28.0,10.0,1.0,2019-07-09,,36.8012760007856,127.147830061703,천안시 동남구 대흥로 140
천안시,현송타운,천안시 동남구 영성동2길 16(영성동),중앙동,16.0,7.0,1.0,2019-03-04,,36.8041095551446,127.151969548142,천안시 동남구 영성동2길 16
천안시,광하빌라,천안시 동남구 사직2길 3(사직동),중앙동,42.0,3.0,4.0,1985-10-28,,36.7991852586194,127.147670741264,천안시 동남구 사직2길 3
천안시,그랑채,천안시 동남구 중앙로 45(영성동),중앙동,55.0,14.0,1.0,2019-11-22,,36.8024581472989,127.152556929604,천안시 동남구 중앙로 45
천안시,형우이즈뷰아파트,천안시 동남구 미나릿길 39-1(영성동),,18.0,8.0,1.0,2019-08-30,,36.8026899855736,127.151230200219,천안시 동남구 미나릿길 39-1
천안시,구성쌍용아파트,천안시 동남구 충절로 295-14(구성동),,216.0,12.0,2.0,1990-12-28,041-552-2205,36.7939781339719,127.161702888201,천안시 동남구 충절로 295-14
천안시,청수극동아파트(1차),천안시 동남구 청수로 99(청수동),,450.0,15.0,7.0,1991-01-17,041-553-5394,36.792202535384,127.155589137478,천안시 동남구 청수로 99
천안시,청수극동아파트(2차),천안시 동남구 청수로 71-7(청수동),,510.0,15.0,6.0,1992-04-30,041-556-1639,36.7904169713272,127.152674780971,천안시 동남구 청수로 71-7
천안시,청수현대아파트,천안시 동남구 풍세로 1010-31(청수동),,520.0,22.0,5.0,1996-10-12,041-551-4595,36.7977940545113,127.154463600038,천안시 동남구 풍세로 1010-31
천안시,청솔LGSK아파트,천안시 동남구 청수로 98(청수동),,898.0,15.0,16.0,1999-02-26,041-567-2772,36.7919510127243,127.158945352625,천안시 동남구 청수로 98
천안시,구성아이파크아파트,천안시 동남구 청수로 136-8(구성동),,184.0,15.0,1.0,2004-12-21,041-567-9538,36.7931565143005,127.159220328974,천안시 동남구 청수로 136-8
천안시,향목그라비스아파트,천안시 동남구 충절로 303(구성동),,216.0,15.0,3.0,2005-02-07,041-552-0150,36.7929475192877,127.162042785216,천안시 동남구 충절로 303
천안시,신성천안미소지움아파트,천안시 동남구 천안대로 483-8(구성동),청룡동,1029.0,15.0,12.0,2006-05-01,041-569-0064,36.7936484940028,127.164211726479,천안시 동남구 천안대로 483-8
천안시,청당마을신도브래뉴아파트,천안시 동남구 풍세로 770(청당동),,915.0,15.0,9.0,2006-08-31,041-592-7272,36.7775700708085,127.141435498573,천안시 동남구 풍세로 770
천안시,청당벽산블루밍아파트,천안시 동남구 청당2길 118(청당동),,1647.0,15.0,17.0,2007-09-28,041-565-8406~7,36.7797751268092,127.154247862962,천안시 동남구 청당2길 118
